
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e86cc238-7265-4253-8249-7041c28cdeaa (gw150914-16day-c01-v1_3_2)
Transformation           Count     Succeeded Failed  Min       Max       Mean      Total     
single_template-P1_3-H1_ID38                 65        1         64      4.681     369.381   12.568           816.914   
single_template-P1_3-L1_ID40                 65        1         64      4.502     699.485   17.053           1108.477  
single_template-P1_4-H1_ID49                 65        1         64      4.559     274.362   10.649           692.156   
single_template-P1_4-L1_ID51                 65        1         64      4.28      295.876   10.87            706.559   
single_template_plot-P1_0-H1_ID6             1         1         0       6.969     6.969     6.969            6.969     
single_template_plot-P1_0-L1_ID8             1         1         0       8.906     8.906     8.906            8.906     
single_template_plot-P1_1-H1_ID17            1         1         0       6.291     6.291     6.291            6.291     
single_template_plot-P1_1-L1_ID19            1         1         0       6.983     6.983     6.983            6.983     
single_template_plot-P1_2-H1_ID28            1         1         0       5.229     5.229     5.229            5.229     
single_template_plot-P1_2-L1_ID30            1         1         0       5.964     5.964     5.964            5.964     
single_template_plot-P1_3-H1_ID39            1         1         0       6.369     6.369     6.369            6.369     
single_template_plot-P1_3-L1_ID41            1         1         0       9.471     9.471     9.471            9.471     
single_template_plot-P1_4-H1_ID50            1         1         0       7.377     7.377     7.377            7.377     
single_template_plot-P1_4-L1_ID52            1         1         0       8.81      8.81      8.81             8.81      
system::chmod                                55        55        0       0.004     0.027     0.007            0.372     


